iter	RMSE
0	362027.4161
1	359336.0723
2	356650.2555
3	354095.5113
4	351615.2933
5	349119.9903
6	346516.7839
7	343916.7608
8	341392.3228
9	338905.1668
10	336514.7163
11	334136.9886
12	331777.4486
13	329407.4224
14	326990.4107
15	324638.9937
16	322388.4133
17	320116.4836
18	317913.5377
19	315747.8004
20	313526.8591
21	311304.1945
22	309148.0695
23	306998.6591
24	304849.8085
25	302729.8377
26	300671.9447
27	298696.735
28	296635.6654
29	294629.2139
30	292634.5042
31	290805.1837
32	288900.9141
33	287010.5145
34	285040.1928
35	283182.0956
36	281380.6687
37	279533.0872
38	277699.5199
39	275918.1738
40	274105.2441
41	272317.7864
42	270536.1609
43	268841.9192
44	267238.2091
45	265542.3152
46	263962.8359
47	262350.144
48	260798.6165
49	259221.3557
50	257644.0792
51	256092.2182
52	254497.4178
53	252956.5948
54	251448.8268
55	249945.4779
56	248427.911
57	246959.3796
58	245462.4939
59	244025.0503
60	242603.9156
61	241208.3391
62	239843.4531
63	238405.8146
64	236996.6984
65	235676.8532
66	234312.0576
67	233094.0829
68	231703.8162
69	230349.8492
70	229049.0159
71	227799.6347
72	226569.9051
73	225318.3715
74	224110.1689
75	222905.7732
76	221682.0024
77	220475.1567
78	219329.8233
79	218186.5678
80	217064.936
81	215970.7424
82	214923.5237
83	213860.4687
84	212842.1657
85	211792.4852
86	210690.7283
87	209668.0679
88	208643.7331
89	207593.3954
90	206542.3291
91	205518.1259
92	204465.2691
93	203439.5782
94	202413.1719
95	201364.4212
96	200390.1525
97	199409.4992
98	198466.1069
99	197494.8835
100	196595.2443
101	195634.6305
102	194658.7447
103	193783.3298
104	192884.0287
105	192023.8935
106	191148.4706
107	190319.1847
108	189485.9418
109	188648.8038
110	187833.1323
111	187004.3592
112	186193.9548
113	185419.1793
114	184556.1186
115	183741.9058
116	182992.011
117	182194.2268
118	181357.2976
119	180534.0065
120	179747.8223
121	179041.7413
122	178250.3444
123	177474.6022
124	176694.4765
125	175962.0635
126	175240.9111
127	174595.6153
128	173920.2218
129	173186.9653
130	172433.4883
131	171718.0608
132	171020.6051
133	170325.1463
134	169710.5068
135	169079.816
136	168481.9428
137	167867.71
138	167276.2461
139	166714.3621
140	166069.6804
141	165441.8418
142	164833.4601
143	164235.684
144	163710.9566
145	163153.0808
146	162620.1189
147	162053.0984
148	161493.6939
149	160995.1306
150	160413.615
151	159882.1993
152	159282.7986
153	158822.2817
154	158290.0498
155	157741.5423
156	157225.2275
157	156743.3678
158	156206.952
159	155703.0122
160	155214.135
161	154740.5173
162	154199.8206
163	153719.873
164	153268.303
165	152812.3546
166	152311.6401
167	151822.4061
168	151298.5382
169	150864.4893
170	150447.5112
171	149993.9081
172	149582.5878
173	149125.3109
174	148660.1789
175	148193.0117
176	147769.8939
177	147314.2901
178	146893.9697
179	146488.3447
180	146060.3068
181	145673.6128
182	145284.588
183	144915.753
184	144496.5246
185	144022.7749
186	143633.4923
187	143251.8224
188	142959.8215
189	142535.5732
190	142141.4486
191	141779.3736
192	141397.5881
193	141030.9056
194	140647.1496
195	140276.0894
196	139905.0968
197	139562.1229
198	139166.5412
199	138818.6259
200	138452.5304
201	138061.2858
202	137750.633
203	137369.9638
204	137045.4656
205	136723.2271
206	136412.6549
207	136112.024
208	135783.0127
209	135448.465
210	135170.9834
211	134855.7016
212	134559.61
213	134301.3136
214	133975.0303
215	133701.2758
216	133423.2631
217	133089.0066
218	132843.9486
219	132566.8743
220	132286.6234
221	131986.3097
222	131708.884
223	131420.2581
224	131176.4831
225	130904.4136
226	130646.2321
227	130365.138
228	130127.942
229	129821.0154
230	129546.6006
231	129233.6803
232	128996.1265
233	128708.5876
234	128418.3887
235	128140.7416
236	127909.8547
237	127652.3316
238	127445.5498
239	127217.3052
240	126966.0199
241	126710.7574
242	126477.9377
243	126261.1038
244	125982.8882
245	125756.3924
246	125537.1545
247	125295.1444
248	125062.28
249	124788.1388
250	124575.8371
251	124352.1413
252	124116.0665
253	123913.4644
254	123708.8992
255	123537.5179
256	123370.7162
257	123161.0106
258	122908.8982
259	122743.2554
260	122512.3605
261	122352.1814
262	122110.3158
263	121919.3044
264	121756.7831
265	121501.9982
266	121325.5858
267	121077.4589
268	120907.0173
269	120726.5488
270	120549.4089
271	120336.6124
272	120135.8066
273	119975.4236
274	119792.2339
275	119599.541
276	119437.4681
277	119276.34
278	119097.6938
279	118875.1059
280	118652.0166
281	118512.5599
282	118318.8083
283	118118.0095
284	117958.4609
285	117795.9335
286	117584.0977
287	117422.8461
288	117282.5565
289	117067.6767
290	116859.8275
291	116712.4491
292	116550.5282
293	116398.7592
294	116241.831
295	116120.9691
296	115959.6957
297	115830.292
298	115696.8978
299	115516.1861
300	115409.8196
301	115260.3169
302	115132.2934
303	114978.3586
304	114832.4688
305	114667.319
306	114497.8179
307	114361.3351
308	114241.0843
309	114131.3407
310	114019.7181
311	113886.7987
312	113746.7633
313	113595.5059
314	113489.8667
315	113361.4893
316	113187.9298
317	113059.1756
318	112963.399
319	112809.1111
320	112677.3194
321	112562.2831
322	112443.8774
323	112328.2813
324	112232.1033
325	112096.6202
326	111933.6813
327	111826.3491
328	111689.113
329	111531.8209
330	111425.2115
331	111311.7573
332	111263.999
333	111153.3902
334	111065.3724
335	110966.8941
336	110854.967
337	110721.9718
338	110631.0891
339	110492.8903
340	110380.8835
341	110296.2147
342	110206.1841
343	110107.5828
344	109984.7016
345	109904.0353
346	109808.7031
347	109709.0337
348	109618.4729
349	109508.3186
350	109415.9628
351	109301.7943
352	109212.4176
353	109146.6821
354	109063.7736
355	108978.7399
356	108965.7898
357	108873.468
358	108796.4347
359	108707.0558
360	108606.6364
361	108474.6013
362	108330.4052
363	108237.2302
364	108158.8586
365	108105.8409
366	108028.1913
367	107950.5542
368	107865.9654
369	107787.2201
370	107669.3148
371	107595.1719
372	107474.7319
373	107356.5334
374	107264.6985
375	107184.0224
376	107102.1512
377	107089.7739
378	107078.9456
379	107070.4546
380	106962.6829
381	106849.4059
382	106781.6699
383	106672.6071
384	106579.2805
385	106487.4497
386	106402.5628
387	106328.2319
388	106282.2794
389	106218.1535
390	106131.7082
391	106022.9048
392	105926.5019
393	105806.0708
394	105699.2083
395	105647.0196
396	105606.8079
397	105513.8399
398	105450.99
399	105386.2868
400	105278.0642
401	105201.0949
402	105103.892
403	105006.9785
404	104896.9344
405	104827.2964
406	104744.438
407	104671.5943
408	104609.5987
409	104532.9846
410	104460.2507
411	104395.6433
412	104334.4568
413	104271.8818
414	104262.3914
415	104194.0085
416	104117.5442
417	104015.6655
418	103946.5951
419	103884.2354
420	103823.4443
421	103746.8964
422	103660.9097
423	103606.297
424	103516.325
425	103454.582
426	103398.5599
427	103352.5435
428	103344.094
429	103289.2058
430	103243.7954
431	103179.1435
432	103113.5276
433	103054.73
434	102989.3343
435	102935.0971
436	102873.3575
437	102803.6141
438	102742.941
439	102673.9573
440	102614.5809
441	102608.1073
442	102554.7684
443	102547.0855
444	102525.5983
445	102518.1027
446	102460.57
447	102439.8034
448	102433.7592
449	102347.0651
450	102299.8426
451	102251.5167
452	102173.0848
453	102083.1008
454	102026.9723
455	101972.1631
456	101910.7502
457	101845.875
458	101781.5897
459	101720.604
460	101713.7209
461	101707.5192
462	101645.2599
