iter	Passed	Remaining
0	4	29169
1	7	28286
2	11	28215
3	15	28408
4	19	28677
5	23	28559
6	27	28464
7	31	28398
8	35	28379
9	39	28292
10	43	28257
11	47	28184
12	50	28142
13	54	28137
14	58	28098
15	62	28160
16	66	28122
17	76	30374
18	82	31186
19	95	34420
20	103	35422
21	107	35043
22	111	34935
23	115	34616
24	119	34349
25	123	34093
26	127	33949
27	132	33897
28	136	33689
29	140	33543
30	144	33351
31	148	33179
32	151	33000
33	155	32828
34	160	32833
35	165	33001
36	169	32832
37	173	32683
38	177	32588
39	181	32518
40	185	32388
41	189	32253
42	193	32134
43	196	32007
44	200	31890
45	204	31780
46	208	31686
47	211	31573
48	215	31474
49	219	31383
50	223	31294
51	227	31211
52	230	31128
53	234	31043
54	238	30995
55	242	30916
56	246	30847
57	249	30779
58	254	30763
59	257	30698
60	261	30631
61	265	30595
62	269	30537
63	273	30516
64	278	30525
65	281	30463
66	285	30419
67	289	30370
68	293	30321
69	297	30302
70	301	30255
71	305	30207
72	309	30171
73	312	30129
74	316	30110
75	321	30123
76	325	30082
77	329	30045
78	332	30008
79	336	29965
80	340	29936
81	344	29905
82	348	29901
83	352	29881
84	356	29836
85	360	29840
86	364	29802
87	368	29772
88	372	29762
89	376	29729
90	380	29711
91	384	29685
92	388	29657
93	391	29624
94	395	29592
95	399	29564
96	403	29540
97	407	29528
98	411	29504
99	415	29484
100	419	29508
101	423	29491
102	427	29478
103	431	29462
104	435	29439
105	439	29421
106	443	29404
107	448	29424
108	451	29404
109	455	29388
110	459	29362
111	463	29341
112	467	29341
113	471	29325
114	475	29324
115	480	29333
116	484	29311
117	488	29296
118	492	29289
119	496	29275
120	500	29253
121	503	29228
122	507	29226
123	511	29203
124	516	29231
125	520	29204
126	524	29190
127	528	29173
128	531	29158
129	538	29279
130	551	29747
131	558	29887
132	562	29864
133	568	29963
134	578	30289
135	583	30333
136	588	30318
137	594	30404
138	598	30379
139	605	30522
140	609	30537
141	616	30627
142	622	30739
143	633	31030
144	645	31424
145	655	31689
146	666	31988
147	678	32342
148	685	32445
149	690	32430
